VARIABLES= "Y","Cl"
0.0200 0.1920
0.0600 0.1920
0.1000 0.1919
0.1400 0.1917
0.1800 0.1915
0.2200 0.1913
0.2600 0.1910
0.3000 0.1906
0.3400 0.1902
0.3800 0.1898
0.4200 0.1892
0.4600 0.1887
0.5000 0.1880
0.5400 0.1873
0.5800 0.1866
0.6200 0.1857
0.6600 0.1849
0.7000 0.1839
0.7400 0.1829
0.7800 0.1817
0.8200 0.1805
0.8600 0.1793
0.9000 0.1779
0.9400 0.1764
0.9800 0.1749
1.0200 0.1732
1.0600 0.1714
1.1000 0.1695
1.1400 0.1674
1.1800 0.1653
1.2200 0.1629
1.2600 0.1604
1.3000 0.1578
1.3400 0.1549
1.3800 0.1519
1.4200 0.1486
1.4600 0.1450
1.5000 0.1412
1.5400 0.1371
1.5800 0.1326
1.6200 0.1277
1.6600 0.1223
1.7000 0.1165
1.7400 0.1099
1.7800 0.1027
1.8200 0.0944
1.8600 0.0849
1.9000 0.0736
1.9400 0.0596
1.9800 0.0402
