VARIABLES= "Y","Cl"
0.0200 0.1315
0.0600 0.1325
0.1000 0.1337
0.1400 0.1350
0.1800 0.1362
0.2200 0.1373
0.2600 0.1385
0.3000 0.1395
0.3400 0.1405
0.3800 0.1414
0.4200 0.1422
0.4600 0.1430
0.5000 0.1438
0.5400 0.1444
0.5800 0.1450
0.6200 0.1455
0.6600 0.1460
0.7000 0.1464
0.7400 0.1468
0.7800 0.1470
0.8200 0.1472
0.8600 0.1474
0.9000 0.1474
0.9400 0.1474
0.9800 0.1473
1.0200 0.1471
1.0600 0.1467
1.1000 0.1463
1.1400 0.1458
1.1800 0.1451
1.2200 0.1442
1.2600 0.1432
1.3000 0.1420
1.3400 0.1406
1.3800 0.1390
1.4200 0.1371
1.4600 0.1349
1.5000 0.1323
1.5400 0.1294
1.5800 0.1261
1.6200 0.1223
1.6600 0.1179
1.7000 0.1129
1.7400 0.1072
1.7800 0.1006
1.8200 0.0929
1.8600 0.0839
1.9000 0.0730
1.9400 0.0593
1.9800 0.0401
