VARIABLES= "Y","Cl"
0.0400 0.2240
0.1200 0.2219
0.2000 0.2186
0.2800 0.2148
0.3600 0.2105
0.4400 0.2060
0.5200 0.2016
0.6000 0.1975
0.6800 0.1936
0.7600 0.1900
0.8400 0.1868
0.9200 0.1840
1.0000 0.1813
1.0800 0.1790
1.1600 0.1768
1.2400 0.1748
1.3200 0.1729
1.4000 0.1712
1.4800 0.1695
1.5600 0.1679
1.6400 0.1663
1.7200 0.1647
1.8000 0.1632
1.8800 0.1616
1.9600 0.1600
2.0400 0.1584
2.1200 0.1568
2.2000 0.1551
2.2800 0.1533
2.3600 0.1515
2.4400 0.1495
2.5200 0.1475
2.6000 0.1453
2.6800 0.1431
2.7600 0.1406
2.8400 0.1380
2.9200 0.1352
3.0000 0.1322
3.0800 0.1289
3.1600 0.1253
3.2400 0.1213
3.3200 0.1169
3.4000 0.1120
3.4800 0.1065
3.5600 0.1003
3.6400 0.0930
3.7200 0.0845
3.8000 0.0741
3.8800 0.0607
3.9600 0.0415
