VARIABLES= "Y","Cl"
0.0728 0.1975
0.2184 0.1994
0.3640 0.2013
0.5096 0.2030
0.6552 0.2046
0.8008 0.2061
0.9464 0.2075
1.0920 0.2088
1.2376 0.2101
1.3832 0.2113
1.5288 0.2125
1.6744 0.2136
1.8200 0.2146
1.9656 0.2156
2.1112 0.2166
2.2568 0.2175
2.4024 0.2183
2.5480 0.2191
2.6936 0.2198
2.8392 0.2205
2.9848 0.2211
3.1304 0.2217
3.2760 0.2222
3.4216 0.2226
3.5672 0.2230
3.7128 0.2233
3.8584 0.2235
4.0040 0.2236
4.1496 0.2237
4.2952 0.2236
4.4408 0.2234
4.5864 0.2231
4.7320 0.2227
4.8776 0.2220
5.0232 0.2212
5.1688 0.2201
5.3144 0.2188
5.4600 0.2172
5.6056 0.2152
5.7512 0.2127
5.8968 0.2096
6.0424 0.2059
6.1880 0.2012
6.3336 0.1954
6.4792 0.1881
6.6248 0.1788
6.7704 0.1666
6.9160 0.1501
7.0616 0.1267
7.2072 0.0894
