VARIABLES= "Y","Cl"
0.0785 0.2321
0.2355 0.2321
0.3922 0.2321
0.5486 0.2321
0.7044 0.2321
0.8595 0.2321
1.0138 0.2321
1.1671 0.2321
1.3192 0.2321
1.4700 0.2321
1.6194 0.2321
1.7672 0.2320
1.9132 0.2320
2.0573 0.2320
2.1994 0.2320
2.3394 0.2320
2.4770 0.2320
2.6122 0.2320
2.7448 0.2320
2.8747 0.2320
3.0017 0.2320
3.1258 0.2320
3.2468 0.2319
3.3646 0.2319
3.4791 0.2319
3.5902 0.2319
3.6977 0.2319
3.8016 0.2319
3.9017 0.2318
3.9979 0.2318
4.0902 0.2318
4.1785 0.2317
4.2627 0.2317
4.3426 0.2317
4.4183 0.2316
4.4896 0.2315
4.5565 0.2315
4.6188 0.2314
4.6766 0.2312
4.7298 0.2310
4.7784 0.2308
4.8222 0.2304
4.8612 0.2297
4.8955 0.2287
4.9249 0.2268
4.9495 0.2234
4.9692 0.2167
4.9840 0.2024
4.9938 0.1715
4.9988 0.1151
