VARIABLES= "Y","Cl"
0.0471 0.2079
0.1413 0.2079
0.2353 0.2079
0.3292 0.2079
0.4227 0.2079
0.5157 0.2079
0.6083 0.2079
0.7002 0.2079
0.7915 0.2079
0.8820 0.2079
0.9716 0.2078
1.0603 0.2078
1.1479 0.2078
1.2344 0.2078
1.3197 0.2078
1.4036 0.2077
1.4862 0.2077
1.5673 0.2077
1.6469 0.2077
1.7248 0.2076
1.8010 0.2076
1.8755 0.2076
1.9481 0.2075
2.0188 0.2075
2.0875 0.2074
2.1541 0.2074
2.2186 0.2073
2.2809 0.2072
2.3410 0.2072
2.3988 0.2071
2.4541 0.2070
2.5071 0.2069
2.5576 0.2068
2.6056 0.2067
2.6510 0.2065
2.6938 0.2064
2.7339 0.2062
2.7713 0.2060
2.8060 0.2057
2.8379 0.2054
2.8670 0.2049
2.8933 0.2043
2.9167 0.2035
2.9373 0.2023
2.9550 0.2003
2.9697 0.1969
2.9815 0.1906
2.9904 0.1777
2.9963 0.1503
2.9993 0.1007
