VARIABLES= "Y","Cl"
0.0942 0.2387
0.2826 0.2387
0.4707 0.2387
0.6583 0.2387
0.8453 0.2387
1.0314 0.2387
1.2166 0.2387
1.4005 0.2387
1.5830 0.2386
1.7640 0.2386
1.9433 0.2386
2.1206 0.2386
2.2958 0.2386
2.4688 0.2386
2.6393 0.2386
2.8072 0.2386
2.9724 0.2386
3.1346 0.2386
3.2937 0.2386
3.4496 0.2386
3.6021 0.2386
3.7510 0.2386
3.8962 0.2386
4.0376 0.2386
4.1750 0.2386
4.3082 0.2386
4.4372 0.2386
4.5619 0.2385
4.6820 0.2385
4.7975 0.2385
4.9083 0.2385
5.0142 0.2385
5.1152 0.2385
5.2111 0.2385
5.3019 0.2384
5.3875 0.2384
5.4677 0.2384
5.5426 0.2383
5.6120 0.2382
5.6758 0.2381
5.7341 0.2379
5.7866 0.2376
5.8335 0.2371
5.8746 0.2361
5.9099 0.2344
5.9394 0.2312
5.9630 0.2245
5.9808 0.2100
5.9926 0.1782
5.9985 0.1196
