VARIABLES= "Y","Cl"
0.0314 0.1825
0.0942 0.1825
0.1569 0.1825
0.2194 0.1824
0.2818 0.1824
0.3438 0.1824
0.4055 0.1824
0.4668 0.1824
0.5277 0.1824
0.5880 0.1824
0.6478 0.1823
0.7069 0.1823
0.7653 0.1823
0.8229 0.1823
0.8798 0.1822
0.9357 0.1822
0.9908 0.1821
1.0449 0.1821
1.0979 0.1820
1.1499 0.1820
1.2007 0.1819
1.2503 0.1819
1.2987 0.1818
1.3459 0.1817
1.3917 0.1817
1.4361 0.1816
1.4791 0.1815
1.5206 0.1814
1.5607 0.1813
1.5992 0.1812
1.6361 0.1810
1.6714 0.1809
1.7051 0.1807
1.7370 0.1806
1.7673 0.1804
1.7958 0.1802
1.8226 0.1799
1.8475 0.1797
1.8707 0.1793
1.8919 0.1790
1.9114 0.1785
1.9289 0.1779
1.9445 0.1771
1.9582 0.1759
1.9700 0.1741
1.9798 0.1711
1.9877 0.1656
1.9936 0.1543
1.9975 0.1305
1.9995 0.0875
