VARIABLES= "Y","Cl"
0.0100 0.1357
0.0300 0.1357
0.0500 0.1356
0.0700 0.1354
0.0900 0.1352
0.1100 0.1350
0.1300 0.1347
0.1500 0.1344
0.1700 0.1340
0.1900 0.1336
0.2100 0.1331
0.2300 0.1325
0.2500 0.1320
0.2700 0.1313
0.2900 0.1306
0.3100 0.1299
0.3300 0.1290
0.3500 0.1282
0.3700 0.1272
0.3900 0.1262
0.4100 0.1252
0.4300 0.1241
0.4500 0.1229
0.4700 0.1216
0.4900 0.1202
0.5100 0.1188
0.5300 0.1173
0.5500 0.1157
0.5700 0.1140
0.5900 0.1122
0.6100 0.1103
0.6300 0.1083
0.6500 0.1062
0.6700 0.1039
0.6900 0.1015
0.7100 0.0990
0.7300 0.0963
0.7500 0.0934
0.7700 0.0903
0.7900 0.0870
0.8100 0.0835
0.8300 0.0797
0.8500 0.0755
0.8700 0.0710
0.8900 0.0660
0.9100 0.0605
0.9300 0.0541
0.9500 0.0467
0.9700 0.0376
0.9900 0.0253
