VARIABLES= "Y","Cl"
0.0360 0.5461
0.1080 0.5460
0.1800 0.5458
0.2520 0.5455
0.3240 0.5452
0.3960 0.5447
0.4680 0.5442
0.5400 0.5435
0.6120 0.5427
0.6840 0.5419
0.7560 0.5409
0.8280 0.5398
0.9000 0.5386
0.9720 0.5373
1.0440 0.5359
1.1160 0.5343
1.1880 0.5326
1.2600 0.5307
1.3320 0.5287
1.4040 0.5265
1.4760 0.5241
1.5480 0.5216
1.6200 0.5188
1.6920 0.5159
1.7640 0.5126
1.8360 0.5092
1.9080 0.5054
1.9800 0.5014
2.0520 0.4970
2.1240 0.4923
2.1960 0.4872
2.2680 0.4816
2.3400 0.4756
2.4120 0.4690
2.4840 0.4619
2.5560 0.4540
2.6280 0.4454
2.7000 0.4360
2.7720 0.4256
2.8440 0.4141
2.9160 0.4012
2.9880 0.3869
3.0600 0.3707
3.1320 0.3524
3.2040 0.3314
3.2760 0.3071
3.3480 0.2783
3.4200 0.2432
3.4920 0.1984
3.5640 0.1350
