"taper_ratio"	"alphaRange"	"sweep"	"twist"	"AR"	"2y/b"	"cl/CL"
1	10	0	0	7.28	0.010630605881940869	1.134056260685539
1	10	0	0	7.28	0.027717390906467188	1.13315836247089
1	10	0	0	7.28	0.04691626783037847	1.1333165872108077
1	10	0	0	7.28	0.06611356857808778	1.1327775115989815
1	10	0	0	7.28	0.08531139471786445	1.1324708694377366
1	10	0	0	7.28	0.10450887059626288	1.1320092716427708
1	10	0	0	7.28	0.12370442003708118	1.1306954178623405
1	10	0	0	7.28	0.14290102026203408	1.129846430983073
1	10	0	0	7.28	0.16209779561767604	1.1290749219206655
1	10	0	0	7.28	0.18129352018918346	1.1278385459570957
1	10	0	0	7.28	0.20048784371517794	1.1259823474586428
1	10	0	0	7.28	0.21968356828668537	1.124745971495073
1	10	0	0	7.28	0.23887596537509972	1.1220375170111554
1	10	0	0	7.28	0.2580692381169596	1.11971645161154
1	10	0	0	7.28	0.2772639119043323	1.118015208746808
1	10	0	0	7.28	0.29645648412343584	1.115384232079751
1	10	0	0	7.28	0.3156494066039175	1.1129082110464148
1	10	0	0	7.28	0.3348416285616427	1.1101222787456368
1	10	0	0	7.28	0.35403350025798985	1.1071813908111383
1	10	0	0	7.28	0.3732258973464042	1.104472936327221
1	10	0	0	7.28	0.3924167182586167	1.10106718149156
1	10	0	0	7.28	0.41160736404013987	1.0975839488390386
1	10	0	0	7.28	0.4307978346909741	1.0940232383696566
1	10	0	0	7.28	0.4499879550804301	1.090307572266554
1	10	0	0	7.28	0.4684484488182922	1.0855257166497863
1	10	0	0	7.28	0.487913816312213	1.0807683347783876
1	10	0	0	7.28	0.5079511069374613	1.0761565589856261
1	10	0	0	7.28	0.5285817588907554	1.0689577489641335
1	10	0	0	7.28	0.5476653456222931	1.0635309772311037
1	10	0	0	7.28	0.5668526639207234	1.0585756660582346
1	10	0	0	7.28	0.5850263179301204	1.0508478454260486
1	10	0	0	7.28	0.60310528292539	1.043217794259243
1	10	0	0	7.28	0.6243945663521117	1.0348385225091117
1	10	0	0	7.28	0.6435725151586749	1.0257381481342112
1	10	0	0	7.28	0.6627484499623132	1.0157467788654162
1	10	0	0	7.28	0.6819240345045735	1.0056004539629
1	10	0	0	7.28	0.7010978677399426	0.9946793508917802
1	10	0	0	7.28	0.7202697745377316	0.9829059918351958
1	10	0	0	7.28	0.7394399300286295	0.9703578546100075
1	10	0	0	7.28	0.7586048315988543	0.9554853828790071
1	10	0	0	7.28	0.7777679818621881	0.9398381329794027
1	10	0	0	7.28	0.7969260533355377	0.9219440263908466
1	10	0	0	7.28	0.8152098899219401	0.9033531751986004
1	10	0	0	7.28	0.831745595320447	0.8835186252449039
1	10	0	0	7.28	0.8465342947457363	0.8629381715030852
1	10	0	0	7.28	0.8595794076245119	0.8431245683473437
1	10	0	0	7.28	0.8717476129969316	0.8214318537613245
1	10	0	0	7.28	0.8821757498648001	0.802062371525314
1	10	0	0	7.28	0.8908624422012742	0.7844073673639802
1	10	0	0	7.28	0.8995475933876841	0.7660705584142751
1	10	0	0	7.28	0.9082292769864498	0.7461996886907338
1	10	0	0	7.28	0.9169044106974428	0.7234311486166136
1	10	0	0	7.28	0.9247127438192412	0.7032547972645273
1	10	0	0	7.28	0.9307763666392715	0.683348147173664
1	10	0	0	7.28	0.9368430396521369	0.6647909023931192
1	10	0	0	7.28	0.941598450818771	0.645228570912417
1	10	0	0	7.28	0.9480921508285726	0.6225556848856104
1	10	0	0	7.28	0.9539709961773722	0.5981164353986347
1	10	0	0	7.28	0.957753903124788	0.5729894836557088
1	10	0	0	7.28	0.9625867956108963	0.5490984109722108
