"sweep"	"2y/b"	"cl/CL"
100	0.027282076667446337	1.132979400153502
100	0.04646946818763528	1.1334537723871285
100	0.06565260804464049	1.1323019684862174
100	0.08483918972422297	1.132466592884694
100	0.10402435418274422	1.1320891585716581
100	0.12320607681868809	1.1303952959592345
100	0.1423900265162997	1.1295532398934736
100	0.1615764057357306	1.1296404273331626
100	0.18075711607091646	1.1275593799268016
100	0.19993802886625386	1.1255557694792282
100	0.21912197856386548	1.124713713413467
100	0.23830127167799006	1.1220906072955936
100	0.257481374632721	1.1197772490128701
100	0.2766630972686649	1.1180833864004467
100	0.2958409731617283	1.1149182215710607
100	0.315022290877369	1.1130694850410623
100	0.33420097661103876	1.1102140680468262
100	0.3533800672650117	1.107513524970165
100	0.37255875299868146	1.1046581079759292
100	0.39173662889174476	1.1014929431465432
100	0.4109132900238984	1.0978631565644323
100	0.4300899511560521	1.0942333699823212
100	0.44926620736790257	1.0904487094826352
100	0.46844145127899484	1.0862768641890117
100	0.48761697651594427	1.0822126204091536
100	0.5267441606095931	1.0707357550602103
100	0.5451298125967415	1.0647647553677881
100	0.5630813605867577	1.0592203608476307
100	0.5827404211443644	1.052093142061897
100	0.6008677302313097	1.0451948311569668
100	0.621018600627054	1.0373185418625224
100	0.6396113328425734	1.0293319870014157
100	0.6608516159357801	1.0181586440789094
100	0.6792824813561226	1.007243547598104
100	0.6984395038535701	0.9961023760136054
100	0.7175953115901079	0.984496582676382
100	0.7367478799642201	0.9716517979985586
100	0.7558957917548453	0.9570259632686228
100	0.775041881404106	0.9417031959095994
100	0.7941825046292731	0.9242896306633135
100	0.8115780608201176	0.9065427476209387
100	0.8272274251980195	0.8880323414558778
100	0.84200151722282	0.8683077264225082
100	0.8550334071851259	0.8493455880177967
100	0.867188009833774	0.8283985586311294
100	0.8776041045142807	0.809626923081473
100	0.8871450594048812	0.7896917814341426
100	0.8966877959448157	0.7704380850241422
100	0.9053581924295114	0.7510917250322723
100	0.9131549126219677	0.7311416175305349
100	0.9200856398849385	0.713526495104916
