"taper_ratio"	"alphaRange"	"sweep"	"AR"	"2y/b"	"cl/CL"
1	0	0	1	0.015705379539064108	0.0
1	0	0	1	0.04710063930372084	0.0
1	0	0	1	0.07844941642391379	0.0
1	0	0	1	0.10972077344140915	0.0
1	0	0	1	0.1408838493022675	0.0
1	0	0	1	0.1719078898129777	0.0
1	0	0	1	0.20276227799113358	0.0
1	0	0	1	0.23341656428069857	0.0
1	0	0	1	0.2638404966020419	0.0
1	0	0	1	0.29400405020708825	0.0
1	0	0	1	0.3238774573101194	0.0
1	0	0	1	0.35343123646498464	0.0
1	0	0	1	0.38263622165972927	0.0
1	0	0	1	0.4114635910999266	0.0
1	0	0	1	0.43988489565230965	0.0
1	0	0	1	0.4678720869206309	0.0
1	0	0	1	0.4953975449260432	0.0
1	0	0	1	0.5224341053646839	0.0
1	0	0	1	0.5489550864155636	0.0
1	0	0	1	0.574934315072302	0.0
1	0	0	1	0.6003461529727248	0.0
1	0	0	1	0.6251655217008331	0.0
1	0	0	1	0.6493679275361707	0.0
1	0	0	1	0.67292948562617	0.0
1	0	0	1	0.695826943557618	0.0
1	0	0	1	0.7180377043039794	0.0
1	0	0	1	0.7395398485259354	0.0
1	0	0	1	0.7603121562031245	0.0
1	0	0	1	0.7803341275757398	0.0
1	0	0	1	0.7995860033753188	0.0
1	0	0	1	0.8180487843247546	0.0
1	0	0	1	0.8357042498882884	0.0
1	0	0	1	0.8525349762529794	0.0
1	0	0	1	0.8685243535239036	0.0
1	0	0	1	0.8836566021161157	0.0
1	0	0	1	0.8979167883271935	0.0
1	0	0	1	0.9112908390750002	0.0
1	0	0	1	0.9237655557861163	0.0
1	0	0	1	0.9353286274212385	0.0
1	0	0	1	0.9459686426246895	0.0
1	0	0	1	0.9556751009860482	0.0
1	0	0	1	0.9644384234027868	0.0
1	0	0	1	0.9722499615336893	0.0
1	0	0	1	0.9791020063337182	0.0
1	0	0	1	0.9849877956619133	0.0
1	0	0	1	0.9899015209548077	0.0
1	0	0	1	0.9938383329587789	0.0
1	0	0	1	0.9967943465156758	0.0
1	0	0	1	0.9987666443970015	0.0
1	0	0	1	0.9997532801828658	0.0
1	10	0	1	0.015705379539064108	0.26256721892551965
1	10	0	1	0.04710063930372084	0.2625752638314298
1	10	0	1	0.07844941642391379	0.2625914268891989
1	10	0	1	0.10972077344140915	0.2626158555698722
1	10	0	1	0.1408838493022675	0.26264877354825966
1	10	0	1	0.1719078898129777	0.2626904837224486
1	10	0	1	0.20276227799113358	0.26274137233767975
1	10	0	1	0.23341656428069857	0.2628019143021815
1	10	0	1	0.2638404966020419	0.26287267980925605
1	10	0	1	0.29400405020708825	0.2629543424100771
1	10	0	1	0.3238774573101194	0.26304768871624773
1	10	0	1	0.35343123646498464	0.263153629951291
1	10	0	1	0.38263622165972927	0.2632732156171856
1	10	0	1	0.4114635910999266	0.26340764959700164
1	10	0	1	0.43988489565230965	0.26355830907084044
1	10	0	1	0.4678720869206309	0.26372676684484025
1	10	0	1	0.4953975449260432	0.26391481716441034
1	10	0	1	0.5224341053646839	0.2641245065587697
1	10	0	1	0.5489550864155636	0.2643581696490346
1	10	0	1	0.574934315072302	0.26461847136656813
1	10	0	1	0.6003461529727248	0.2649084566024238
1	10	0	1	0.6251655217008331	0.2652316086712669
1	10	0	1	0.6493679275361707	0.2655919182204184
1	10	0	1	0.67292948562617	0.2659939645054692
1	10	0	1	0.695826943557618	0.26644301127316383
1	10	0	1	0.7180377043039794	0.2669451198211719
1	10	0	1	0.7395398485259354	0.2675072821027831
1	10	0	1	0.7603121562031245	0.26813757693275986
1	10	0	1	0.7803341275757398	0.26884535227703227
1	10	0	1	0.7995860033753188	0.26964143599237983
1	10	0	1	0.8180487843247546	0.2705383757120113
1	10	0	1	0.8357042498882884	0.27155070494354566
1	10	0	1	0.8525349762529794	0.2726952252361914
1	10	0	1	0.8685243535239036	0.27399127988241523
1	10	0	1	0.8836566021161157	0.2754609671900634
1	10	0	1	0.8979167883271935	0.27712918254189833
1	10	0	1	0.9112908390750002	0.27902328312757574
1	10	0	1	0.9237655557861163	0.28117202336555613
1	10	0	1	0.9353286274212385	0.28360314819427224
1	10	0	1	0.9459686426246895	0.2863381731346838
1	10	0	1	0.9556751009860482	0.28938034209927876
1	10	0	1	0.9644384234027868	0.29268764848853623
1	10	0	1	0.9722499615336893	0.29611860409636875
1	10	0	1	0.9791020063337182	0.2993337394520638
1	10	0	1	0.9849877956619133	0.301620007596904
1	10	0	1	0.9899015209548077	0.30137301634526376
1	10	0	1	0.9938383329587789	0.29460438804130457
1	10	0	1	0.9967943465156758	0.2719223206153714
1	10	0	1	0.9987666443970015	0.21715493338378464
1	10	0	1	0.9997532801828658	0.14304803457407422
