"taper_ratio"	"alphaRange"	"sweep"	"twist"	"AR"	"y/b"	"clclocal/cavg"
0.4	5.908307684234428	35	0	28.571428571428573	0.01	0.5726352310230552
0.4	5.908307684234428	35	0	28.571428571428573	0.030000000000000006	0.5868789566074719
0.4	5.908307684234428	35	0	28.571428571428573	0.05	0.5985654109854233
0.4	5.908307684234428	35	0	28.571428571428573	0.07	0.6071001018492483
0.4	5.908307684234428	35	0	28.571428571428573	0.09	0.6129231598132324
0.4	5.908307684234428	35	0	28.571428571428573	0.11000000000000001	0.6165384863034136
0.4	5.908307684234428	35	0	28.571428571428573	0.12999999999999998	0.6183681423040573
0.4	5.908307684234428	35	0	28.571428571428573	0.15	0.6187441083821158
0.4	5.908307684234428	35	0	28.571428571428573	0.16999999999999998	0.6179245022451236
0.4	5.908307684234428	35	0	28.571428571428573	0.19	0.6161108786769481
0.4	5.908307684234428	35	0	28.571428571428573	0.20999999999999996	0.613462154428227
0.4	5.908307684234428	35	0	28.571428571428573	0.22999999999999998	0.6101050367359149
0.4	5.908307684234428	35	0	28.571428571428573	0.25	0.6061416839969545
0.4	5.908307684234428	35	0	28.571428571428573	0.27	0.601655331831356
0.4	5.908307684234428	35	0	28.571428571428573	0.29000000000000004	0.5967144560272355
0.4	5.908307684234428	35	0	28.571428571428573	0.31000000000000005	0.5913758856639869
0.4	5.908307684234428	35	0	28.571428571428573	0.33000000000000007	0.5856871581882678
0.4	5.908307684234428	35	0	28.571428571428573	0.3500000000000001	0.5796883215640433
0.4	5.908307684234428	35	0	28.571428571428573	0.3700000000000001	0.5734133283732559
0.4	5.908307684234428	35	0	28.571428571428573	0.3900000000000001	0.5668911250838052
0.4	5.908307684234428	35	0	28.571428571428573	0.41000000000000014	0.5601465107770282
0.4	5.908307684234428	35	0	28.571428571428573	0.43000000000000005	0.5532008193657025
0.4	5.908307684234428	35	0	28.571428571428573	0.4500000000000002	0.5460724649743481
0.4	5.908307684234428	35	0	28.571428571428573	0.4700000000000001	0.5387773798350911
0.4	5.908307684234428	35	0	28.571428571428573	0.4900000000000002	0.5313293665144848
0.4	5.908307684234428	35	0	28.571428571428573	0.5100000000000001	0.5237403806647095
0.4	5.908307684234428	35	0	28.571428571428573	0.5300000000000002	0.5160207561790128
0.4	5.908307684234428	35	0	28.571428571428573	0.5500000000000002	0.5081793811815734
0.4	5.908307684234428	35	0	28.571428571428573	0.5700000000000003	0.500223830347011
0.4	5.908307684234428	35	0	28.571428571428573	0.5900000000000002	0.49216045631721567
0.4	5.908307684234428	35	0	28.571428571428573	0.6100000000000003	0.4839944401455594
0.4	5.908307684234428	35	0	28.571428571428573	0.6300000000000002	0.47572979736138404
0.4	5.908307684234428	35	0	28.571428571428573	0.6500000000000004	0.467369331856991
0.4	5.908307684234428	35	0	28.571428571428573	0.6700000000000003	0.45891452348339556
0.4	5.908307684234428	35	0	28.571428571428573	0.6900000000000004	0.4503653255303242
0.4	5.908307684234428	35	0	28.571428571428573	0.7100000000000003	0.4417198325611117
0.4	5.908307684234428	35	0	28.571428571428573	0.7300000000000004	0.4329737525869945
0.4	5.908307684234428	35	0	28.571428571428573	0.7500000000000003	0.4241195711356796
0.4	5.908307684234428	35	0	28.571428571428573	0.7700000000000005	0.4151452101479776
0.4	5.908307684234428	35	0	28.571428571428573	0.7900000000000004	0.4060318238736324
0.4	5.908307684234428	35	0	28.571428571428573	0.8100000000000003	0.3967500542348195
0.4	5.908307684234428	35	0	28.571428571428573	0.8300000000000003	0.38725339883815546
0.4	5.908307684234428	35	0	28.571428571428573	0.8500000000000002	0.37746585929253396
0.4	5.908307684234428	35	0	28.571428571428573	0.8700000000000001	0.3672575104383189
0.4	5.908307684234428	35	0	28.571428571428573	0.89	0.3563925724744024
0.4	5.908307684234428	35	0	28.571428571428573	0.9099999999999999	0.34440904546281226
0.4	5.908307684234428	35	0	28.571428571428573	0.9299999999999999	0.3303087447089313
0.4	5.908307684234428	35	0	28.571428571428573	0.9499999999999998	0.3116510210837873
0.4	5.908307684234428	35	0	28.571428571428573	0.9699999999999998	0.28150287726087364
0.4	5.908307684234428	35	0	28.571428571428573	0.9899999999999997	0.21683949194179677
0.4	7.530135534788123	35	-4	28.571428571428573	0.01	0.7038900597077682
0.4	7.530135534788123	35	-4	28.571428571428573	0.030000000000000006	0.7186722578686497
0.4	7.530135534788123	35	-4	28.571428571428573	0.05	0.7290873764097922
0.4	7.530135534788123	35	-4	28.571428571428573	0.07	0.7348459067995275
0.4	7.530135534788123	35	-4	28.571428571428573	0.09	0.7367300869144919
0.4	7.530135534788123	35	-4	28.571428571428573	0.11000000000000001	0.7355157861003735
0.4	7.530135534788123	35	-4	28.571428571428573	0.12999999999999998	0.7318323777408449
0.4	7.530135534788123	35	-4	28.571428571428573	0.15	0.7261703357787777
0.4	7.530135534788123	35	-4	28.571428571428573	0.16999999999999998	0.718910648874884
0.4	7.530135534788123	35	-4	28.571428571428573	0.19	0.7103516902797707
0.4	7.530135534788123	35	-4	28.571428571428573	0.20999999999999996	0.7007298886649619
0.4	7.530135534788123	35	-4	28.571428571428573	0.22999999999999998	0.6902349214537263
0.4	7.530135534788123	35	-4	28.571428571428573	0.25	0.6790207831438755
0.4	7.530135534788123	35	-4	28.571428571428573	0.27	0.6672138876349024
0.4	7.530135534788123	35	-4	28.571428571428573	0.29000000000000004	0.6549190608466988
0.4	7.530135534788123	35	-4	28.571428571428573	0.31000000000000005	0.6422240277678727
0.4	7.530135534788123	35	-4	28.571428571428573	0.33000000000000007	0.6292028149829679
