"AR"	"2y/b"	"cl/CL"
7.4	0.01	1.125213938382438
7.4	0.030000000000000002	1.1267281216817346
7.4	0.05	1.1284541148727667
7.4	0.06999999999999999	1.130137220598195
7.4	0.09000000000000001	1.1316667790629904
7.4	0.11	1.1329818117953805
7.4	0.13	1.13404594599021
7.4	0.15	1.1348366852500222
7.4	0.17	1.1353396985283621
7.4	0.19000000000000003	1.1355454269669756
7.4	0.21000000000000005	1.1354469327475707
7.4	0.23000000000000007	1.1350384746477786
7.4	0.2500000000000001	1.134314532393497
7.4	0.27000000000000013	1.1332691167017768
7.4	0.2900000000000001	1.131895263059428
7.4	0.31000000000000016	1.1301846423563557
7.4	0.3300000000000001	1.1281272427411562
7.4	0.3500000000000002	1.1257110904116925
7.4	0.37000000000000016	1.1229219855751345
7.4	0.39000000000000024	1.1197432352167163
7.4	0.4100000000000002	1.1161553675980256
7.4	0.43000000000000027	1.1121358151593503
7.4	0.45000000000000023	1.1076585530817042
7.4	0.4700000000000003	1.102693680370115
7.4	0.49000000000000027	1.097206929033843
7.4	0.5100000000000003	1.0911590847510435
7.4	0.5300000000000002	1.0845052992160906
7.4	0.5500000000000004	1.0771942699820154
7.4	0.5700000000000003	1.069167257713516
7.4	0.5900000000000003	1.060356902882292
7.4	0.6100000000000002	1.0506857933589033
7.4	0.6300000000000002	1.0400647200295954
7.4	0.6500000000000001	1.028390537897754
7.4	0.6700000000000002	1.015543522658111
7.4	0.6900000000000001	1.0013840735729767
7.4	0.7100000000000001	0.985748556337464
7.4	0.73	0.9684439939980609
7.4	0.7499999999999999	0.9492411818527154
7.4	0.7699999999999999	0.9278655916088798
7.4	0.7899999999999998	0.9039850820710239
7.4	0.8099999999999998	0.8771928357041023
7.4	0.8299999999999997	0.8469828671050373
7.4	0.8499999999999998	0.8127134238819516
7.4	0.8699999999999997	0.7735495456808672
7.4	0.8899999999999997	0.7283673246433385
7.4	0.9099999999999996	0.6755818613615079
7.4	0.9299999999999996	0.6128063704491061
7.4	0.9499999999999995	0.5360794090032484
7.4	0.9699999999999994	0.43771915334770245
7.4	0.9899999999999994	0.29781873666949726
