"sweep"	"AR"	"CL_alpha"
0	1.304440178105941	1.8915904823009573
0	1.3770024466585167	1.9550917812467326
0	1.4262536758474955	2.002568191365838
0	1.4918233803733634	2.0553479298961115
0	1.5557432020445006	2.117211062476395
0	1.634506434176125	2.1795539091610214
0	1.7401781012447899	2.2641731203748403
0	1.834079787218349	2.3435883975147584
0	1.9235974196497148	2.4142135286513273
0	2.0730895347306557	2.5443783430352713
0	2.1667147510712432	2.5942903607708665
0	2.260472952804906	2.6583938197389205
0	2.354231154538568	2.7224972787069737
0	2.4479578597317655	2.7832396068568137
0	2.52402857109373	2.831387568198127
0	2.6112412081661054	2.8789625793766698
0	2.728994185160243	2.9501221280374255
0	2.8198208408429464	2.990739595990731
0	2.908417300744058	3.0357466695237125
0	3.014618142324487	3.1009699076327815
0	3.171499886913767	3.176867871293097
0	3.265083107867067	3.222298381271072
0	3.3586523303579385	3.266235055329841
0	3.4522355513112393	3.311665565307817
0	3.545822271880146	3.357469534265595
0	3.6393844951398027	3.400659290364761
0	3.7329292203214237	3.4419817515649194
0	3.8264984428122943	3.485918425623689
0	3.920029169531487	3.5257470509046414
0	4.013500402785356	3.5592268735289667
0	4.149579456057414	3.620826107557495
0	4.243113682392213	3.6610281918182483
0	4.365206153968201	3.709486345950663
0	4.482220961255529	3.7545082939830587
0	4.606121155284718	3.7915745023145924
0	4.710494345970806	3.831041517798488
0	4.803972578455889	3.8652682583824167
0	4.904663327061885	3.8945317334100262
0	5.001675992636585	3.9215772248004988
0	5.083219068791311	3.942832796042074
0	5.177511049526246	3.962215109879365
0	5.270954285855257	3.9927072606652785
0	5.364256137713735	4.008111668667208
0	5.457636730923375	4.031918903714674
0	5.551109014061926	4.06551076403294
0	5.644478758463184	4.08816027624302
0	5.737834504402014	4.109315952533894
0	5.831225246496916	4.134206218622785
0	5.9280996615057395	4.154292179076378
0	6.010654750713869	4.1740672310142815
0	6.1015085444784445	4.190494672805325
0	6.2046202333273754	4.215841251947868
0	6.297951481956955	4.234382715380132
0	6.391296729048963	4.2544180147316
0	6.484655974603399	4.275947150002277
0	6.577997722079799	4.295608990373944
0	6.671307973015735	4.311909699927398
0	6.764628722798491	4.329330786420257
0	6.857945972965643	4.346378413933314
0	6.951259723517184	4.363052582466569
0	7.044531089835262	4.375203747800006
0	7.137866226926626	4.39416016565427
0	7.231193975940597	4.412328170106732
0	7.324504226876533	4.428628879660186
0	7.392354774269771	4.439261711765165
30	4.155868265303631	3.388183160724937
30	4.249324333556534	3.4200446611034563
30	4.342796648857099	3.453639953567962
30	4.436222012733087	3.4822248582957207
30	4.529627212157244	3.508657927949384
30	4.623052950408218	3.5372827838362895
30	4.716461190581157	3.564040344824187
30	4.809872930369702	3.591171364791886
30	4.903225176692924	3.6119535821029585
30	4.997822509273978	3.641392312135652
30	5.083415332691634	3.661260916098889
30	5.183418400671274	3.6888651342484375
30	5.276802143534961	3.713008482377724
30	5.37015788947379	3.7341641586685985
30	5.46351363541262	3.7553198349594727
30	5.556841384426591	3.773487839411934
30	5.6501656338249555	3.7912823848845942
30	5.74348988322332	3.809076930357254
30	5.8368036337748626	3.8257510988905095
30	5.930131382788834	3.843919103342971
30	6.0200871378005845	3.8611181616162975
30	6.116769382738741	3.8783878173488864
30	6.210069134827854	3.893568149962935
45	0.09874399817791613	0.1675877366619769
45	0.1589403404647265	0.2651562716598175
45	0.22426956942559317	0.3581862490155192
45	0.29523145794395744	0.4623543777742434
45	0.352246967069235	0.5593883490388167
45	0.40807878286312893	0.6430739236319889
45	0.46253241499339537	0.7184146759072512
45	0.5397069001810202	0.856010421962953
45	0.6293681492103782	0.9862807009944383
45	0.7076989634874418	1.105520775095771
45	0.7643989834459743	1.2222070882277603
45	0.8378545424196768	1.318850445225248
45	0.915582079036749	1.4258299840518607
45	1.0358198953695668	1.5453922184299413
45	1.1103865953215528	1.6087836686816752
45	1.1887549409380502	1.6835162645094304
45	1.2710635811669955	1.7535403942570893
45	1.3760164360641427	1.849870364961399
45	1.4517946643676731	1.9157480045800535
45	1.6082219310392076	2.034606492750174
45	1.7105511814305594	2.103155586944622
45	1.806956366415969	2.1603781210686215
45	1.90069788664857	2.222701425566286
45	1.9896816958757448	2.2774445996843724
45	2.0800495636382754	2.326879827080708
45	2.1815390061296736	2.3687526835056953
45	2.2751478909307608	2.416921892668883
45	2.3687347281535214	2.4627383102593203
45	2.4623279813382286	2.5092394026460605
45	2.5550660567877657	2.554855687218822
45	2.6913791763240384	2.6038838840637624
45	2.8089766244672196	2.6487367249048033
45	2.895841581493137	2.6801481802711757
45	2.989258020765498	2.707780702297467
45	3.133806810400535	2.769473068953582
45	3.2272592623839786	2.80094866171964
45	3.3206768348652025	2.828702113320343
45	3.4141130719629986	2.8584473461466526
45	3.5064135379789274	2.879958170928525
45	3.5850558260754184	2.9050067474288515
45	3.6700648774596445	2.930592478990236
45	3.770710020532543	2.9549891921288234
45	3.8640287794512016	2.9721978249813885
45	3.957395454550511	2.9945197988264454
45	4.051432031715227	3.0161822515172636
45	4.163206990657136	3.041700735559264
45	4.283268673575726	3.0674385044912507
45	4.398674512480529	3.090365122630879
45	4.492022092649608	3.1106493946355496
45	4.585332926854811	3.127012347352304
45	4.678696838563391	3.149039427929382
45	4.771990291344412	3.163547534379788
45	4.862603325268053	3.1813685089017474
45	4.9433534659793645	3.195415636708172
45	5.043827945546071	3.211459437665199
45	5.138854716578861	3.2248586173494598
45	5.23388148761165	3.238257797033719
45	5.329892335219492	3.2512262101734537
45	5.425043410926873	3.2649922418386916
45	5.518388774672735	3.2850399898228213
45	5.611606402448932	3.2914564850441943
45	5.704914203653941	3.3074957733117865
45	5.798227370936217	3.324107698681742
45	5.89155745302726	3.3425246757874048
45	5.98397579007102	3.3570592153719816
45	6.078124877395753	3.369461967033988
45	6.171391383136599	3.381094439339922
45	6.264644473684282	3.39129531888995
45	6.357909812886591	3.4028033048692836
45	6.451261475940545	3.423523279017056
45	6.544429409175119	3.424636656725246
45	6.637744909534465	3.441497554748403
45	6.731055977047376	3.4578854047304763
45	6.824244091398618	3.4611523958888557
45	6.917559008488697	3.4779510507487124
60	0.8881168904254972	1.1696937364198217
60	0.9736362490637462	1.2196115843046034
60	1.061829773014711	1.270865757163575
60	1.1714380708336007	1.3480103932312595
60	1.2919090199589036	1.422392447022732
60	1.37599111938799	1.473083382416875
60	1.4732146741245378	1.533358499146991
60	1.5558427317105956	1.5716792329097267
60	1.6826163654099202	1.63438087085179
60	1.8407781681444673	1.7027782331836603
60	1.973428423068185	1.75967124265732
60	2.0830788958468993	1.8028884122252498
60	2.176563252659294	1.8377687060238328
60	2.3371598796229076	1.8948719767396627
60	2.423005199094858	1.9279317173901944
60	2.5257355286587684	1.9557372783270734
60	2.6437225250095926	1.9841564252130999
60	2.7890445119300065	2.0153913962024284
60	2.955201501891155	2.06054568357614
60	3.1359799550387804	2.097629913241728
60	3.234429041532392	2.1200685486142152
60	3.3226395359515983	2.134401624289751
60	3.4668988240517358	2.1652000414358064
60	3.5305090038675306	2.1751994431158757
60	3.670496077888198	2.2019659531208244
60	3.7524653525587395	2.213020792591359
60	3.8571492428390703	2.238052989372549
60	3.908025487998641	2.2447827501852773
60	4.032022358364069	2.2670404654634018
60	4.1345456073537825	2.2747136054802244
60	4.22568218314796	2.2879202679078814
60	4.383250814376419	2.3129772298127014
60	4.514663990972519	2.328535133903272
60	4.586412091654232	2.3384259145544783
60	4.7051584820544425	2.3578798777590775
60	4.783203759673142	2.3719375836808307
60	4.891668862688538	2.378729787634894
60	4.990076202926692	2.3967135011748955
60	5.070886400723223	2.4047638591436478
60	5.154406880713514	2.4103987081179037
60	5.230168184952698	2.419668569454412
60	5.315914816625478	2.429189352291501
60	5.438795735948029	2.437982249440725
60	5.510534737629162	2.446902036744449
60	5.629268262495568	2.464983063698824
60	5.7076771501758605	2.472655720945161
60	5.8157134336255165	2.478874187917672
60	5.897700833802686	2.491863277881337
60	6.002261327366431	2.503727282192602
60	6.106775647102989	2.5106638795168976
60	6.188713897123185	2.518407945586458
60	6.297238610257759	2.531561400829811
60	6.375177499561999	2.5342659537655976
60	6.519268339497574	2.5470885453505367
60	6.614890869789396	2.5519285708719366
60	6.7057132773198145	2.5609547723040675
60	6.849734708212512	2.5663704274562766
