VARIABLES= "Y","Cl"
50000000.0000 1.0857
150000000.0000 1.0857
250000000.0000 1.0857
350000000.0000 1.0857
450000000.0000 1.0857
550000000.0000 1.0857
650000000.0000 1.0857
750000000.0000 1.0857
850000000.0000 1.0857
950000000.0000 1.0857
1050000000.0000 1.0857
1150000000.0000 1.0857
1250000000.0000 1.0857
1350000000.0000 1.0857
1450000000.0000 1.0857
1550000000.0000 1.0857
1650000000.0000 1.0857
1750000000.0000 1.0857
1850000000.0000 1.0857
1950000000.0000 1.0857
2050000000.0000 1.0857
2150000000.0000 1.0857
2250000000.0000 1.0857
2350000000.0000 1.0857
2450000000.0000 1.0857
2550000000.0000 1.0857
2650000000.0000 1.0857
2750000000.0000 1.0857
2850000000.0000 1.0857
2950000000.0000 1.0857
3050000000.0000 1.0857
3150000000.0000 1.0857
3250000000.0000 1.0857
3350000000.0000 1.0857
3450000000.0000 1.0857
3550000000.0000 1.0857
3650000000.0000 1.0857
3750000000.0000 1.0857
3850000000.0000 1.0857
3950000000.0000 1.0857
4050000000.0000 1.0857
4150000000.0000 1.0857
4250000000.0000 1.0857
4350000000.0000 1.0857
4450000000.0000 1.0857
4550000000.0000 1.0857
4650000000.0000 1.0857
4750000000.0000 1.0857
4850000000.0000 1.0857
4950000000.0000 1.0857
