VARIABLES= "Y","Cl"
0.1571 0.5040
0.4710 0.5265
0.7845 0.5421
1.0972 0.5521
1.4088 0.5580
1.7191 0.5609
2.0276 0.5615
2.3342 0.5604
2.6384 0.5580
2.9400 0.5544
3.2388 0.5501
3.5343 0.5450
3.8264 0.5394
4.1146 0.5333
4.3988 0.5269
4.6787 0.5202
4.9540 0.5133
5.2243 0.5062
5.4896 0.4990
5.7493 0.4918
6.0035 0.4845
6.2517 0.4772
6.4937 0.4699
6.7293 0.4627
6.9583 0.4555
7.1804 0.4484
7.3954 0.4415
7.6031 0.4346
7.8033 0.4278
7.9959 0.4211
8.1805 0.4146
8.3570 0.4081
8.5253 0.4017
8.6852 0.3952
8.8366 0.3888
8.9792 0.3822
9.1129 0.3753
9.2377 0.3678
9.3533 0.3596
9.4597 0.3500
9.5568 0.3386
9.6444 0.3243
9.7225 0.3063
9.7910 0.2837
9.8499 0.2559
9.8990 0.2229
9.9384 0.1853
9.9679 0.1440
9.9877 0.1005
9.9975 0.0585
