VARIABLES= "Y","Cl"
0.1571 0.3176
0.4710 0.3382
0.7845 0.3572
1.0972 0.3744
1.4088 0.3903
1.7191 0.4053
2.0276 0.4195
2.3342 0.4332
2.6384 0.4464
2.9400 0.4593
3.2388 0.4718
3.5343 0.4841
3.8264 0.4961
4.1146 0.5079
4.3988 0.5195
4.6787 0.5308
4.9540 0.5419
5.2243 0.5528
5.4896 0.5634
5.7493 0.5738
6.0035 0.5840
6.2517 0.5938
6.4937 0.6034
6.7293 0.6126
6.9583 0.6216
7.1804 0.6301
7.3954 0.6384
7.6031 0.6462
7.8033 0.6535
7.9959 0.6604
8.1805 0.6667
8.3570 0.6724
8.5253 0.6774
8.6852 0.6816
8.8366 0.6847
8.9792 0.6866
9.1129 0.6868
9.2377 0.6850
9.3533 0.6804
9.4597 0.6720
9.5568 0.6584
9.6444 0.6380
9.7225 0.6086
9.7910 0.5683
9.8499 0.5161
9.8990 0.4520
9.9384 0.3773
9.9679 0.2942
9.9877 0.2057
9.9975 0.1198
