"taper_ratio"	"alphaRange"	"sweep"	"AR"	"2y/b"	"cl/CL"
1	10	0	7.28	0.01	0.9103585777229624
1	10	0	7.28	0.03	0.9102084936231414
1	10	0	7.28	0.049999999999999996	0.9099077560056776
1	10	0	7.28	0.07	0.9094552212257837
1	10	0	7.28	0.09	0.9088491617197333
1	10	0	7.28	0.10999999999999999	0.9080872512808753
1	10	0	7.28	0.12999999999999998	0.9071665450751847
1	10	0	7.28	0.14999999999999997	0.9060834540829054
1	10	0	7.28	0.16999999999999996	0.9048337135597594
1	10	0	7.28	0.18999999999999997	0.903412345007559
1	10	0	7.28	0.20999999999999996	0.9018136110267944
1	10	0	7.28	0.22999999999999995	0.900030962289389
1	10	0	7.28	0.24999999999999994	0.8980569757140264
1	10	0	7.28	0.26999999999999996	0.895883282744128
1	10	0	7.28	0.29	0.8935004864132796
1	10	0	7.28	0.30999999999999994	0.8908980656268207
1	10	0	7.28	0.32999999999999996	0.888064264781544
1	10	0	7.28	0.3499999999999999	0.8849859664755494
1	10	0	7.28	0.36999999999999994	0.8816485446115049
1	10	0	7.28	0.3899999999999999	0.8780356946486977
1	10	0	7.28	0.4099999999999999	0.8741292370862997
1	10	0	7.28	0.4299999999999999	0.8699088894284626
1	10	0	7.28	0.4499999999999999	0.8653520008469414
1	10	0	7.28	0.46999999999999986	0.8604332424605272
1	10	0	7.28	0.4899999999999999	0.8551242445144872
1	10	0	7.28	0.5099999999999999	0.8493931696624198
1	10	0	7.28	0.5299999999999999	0.8432042088835878
1	10	0	7.28	0.5499999999999999	0.8365169831126628
1	10	0	7.28	0.57	0.8292858291376437
1	10	0	7.28	0.5899999999999999	0.8214589423400218
1	10	0	7.28	0.6099999999999999	0.8129773408367641
1	10	0	7.28	0.6299999999999999	0.8037736046935948
1	10	0	7.28	0.6499999999999999	0.7937703288471806
1	10	0	7.28	0.6699999999999999	0.7828782072567615
1	10	0	7.28	0.6899999999999998	0.7709936355504905
1	10	0	7.28	0.7099999999999999	0.7579956751195301
1	10	0	7.28	0.7299999999999999	0.7437421550997221
1	10	0	7.28	0.7499999999999999	0.7280645860735386
1	10	0	7.28	0.7699999999999998	0.7107613961336762
1	10	0	7.28	0.7899999999999998	0.6915887313959816
1	10	0	7.28	0.8099999999999998	0.6702476038056479
1	10	0	7.28	0.8299999999999998	0.6463653486232427
1	10	0	7.28	0.8499999999999998	0.6194678119461365
1	10	0	7.28	0.8699999999999998	0.5889356108405962
1	10	0	7.28	0.8899999999999998	0.5539311991524601
1	10	0	7.28	0.9099999999999998	0.5132679117393809
1	10	0	7.28	0.9299999999999998	0.4651508666909406
1	10	0	7.28	0.9499999999999997	0.40659052519910455
1	10	0	7.28	0.9699999999999998	0.33177626875594823
1	10	0	7.28	0.9899999999999998	0.22563348301603423
0.4	10	0	7.28	0.01	0.832234587068076
0.4	10	0	7.28	0.03	0.8403934799863904
0.4	10	0	7.28	0.049999999999999996	0.8477486259118747
0.4	10	0	7.28	0.07	0.8545262326783778
0.4	10	0	7.28	0.09	0.8608346370347213
0.4	10	0	7.28	0.10999999999999999	0.8667422125498211
0.4	10	0	7.28	0.12999999999999998	0.8722969778086889
0.4	10	0	7.28	0.14999999999999997	0.8775346500131664
0.4	10	0	7.28	0.16999999999999996	0.8824828006560468
0.4	10	0	7.28	0.18999999999999997	0.887163241719543
0.4	10	0	7.28	0.20999999999999996	0.8915934862484748
0.4	10	0	7.28	0.22999999999999995	0.8957876829214033
0.4	10	0	7.28	0.24999999999999994	0.8997572328218212
0.4	10	0	7.28	0.26999999999999996	0.9035112036941271
0.4	10	0	7.28	0.29	0.9070566082927232
0.4	10	0	7.28	0.30999999999999994	0.910398586423407
0.4	10	0	7.28	0.32999999999999996	0.9135405145289534
0.4	10	0	7.28	0.3499999999999999	0.9164840570291501
