"sweep"	"AR"	"CL_alpha"
0	1e-05	8.760176239454603e-05
0	0.25	0.39371548305592596
0	0.5	0.7777437123770875
0	0.75	1.1382978223315603
0	1.0	1.4677825597827872
0	1.25	1.764948919798254
0	1.5	2.0316687266182805
0	1.75	2.2709309843873156
0	2.0	2.4859183414976083
0	2.25	2.679628715948633
0	2.5	2.8547437852190884
0	2.75	3.013604663336839
0	3.0	3.1582315549650426
0	3.25	3.2903590227204367
0	3.5	3.411474352548343
0	3.75	3.5228537668182818
0	4.0	3.6255945698884005
0	4.25	3.720642817514835
0	4.5	3.808816748094573
0	4.75	3.890826455917588
0	5.0	3.9672903421136265
0	5.25	4.038748852721549
0	5.5	4.1056759556608
0	5.75	4.168488743032504
0	6.0	4.227555482683673
0	6.25	4.2832023874830325
0	6.5	4.335719323362937
0	6.75	4.3853646375804
0	7.0	4.432369255977342
0	7.25	4.476940171264679
0	7.5	4.5192634225316715
0	7.75	4.559506648413263
30	1e-05	8.76017623945476e-05
30	0.25	0.3935981243127253
30	0.5	0.7764697742238155
30	0.75	1.133166619761541
30	1.0	1.455035807873795
30	1.25	1.7406099102212844
30	1.5	1.9921202749400353
30	1.75	2.2132459896108676
30	2.0	2.4079740822174154
30	2.25	2.580070559237564
30	2.5	2.7328710904967957
30	2.75	2.869232844182666
30	3.0	2.9915608062600887
30	3.25	3.1018628082991633
30	3.5	3.2018106852016333
30	3.75	3.2927975397424825
30	4.0	3.3759874745716902
30	4.25	3.4523571637502393
30	4.5	3.522729909348723
30	4.75	3.587803257000535
30	5.0	3.6481712898069807
30	5.25	3.704342610989373
30	5.5	3.7567548695207376
30	5.75	3.8057865267324957
30	6.0	3.851766423711008
30	6.25	3.894981594013731
30	6.5	3.935683673000979
30	6.75	3.9740941809812695
30	7.0	4.010408899039101
30	7.25	4.044801510716191
30	7.5	4.077426646975849
30	7.75	4.1084224439141135
45	1e-05	8.760176239454875e-05
45	0.25	0.39350099545247125
45	0.5	0.7745661695519555
45	0.75	1.124248374478505
45	1.0	1.4316026495070562
45	1.25	1.6949040380009257
45	1.5	1.917797299081966
45	1.75	2.106167469263422
45	2.0	2.2661510461284893
45	2.25	2.4031775923845924
45	2.5	2.5216942328152947
45	2.75	2.6252173241582337
45	3.0	2.7164915590835634
45	3.25	2.7976572461816676
45	3.5	2.870392308560132
45	3.75	2.9360233965601656
45	4.0	2.9956098955839323
45	4.25	3.050006604561061
45	4.5	3.099910378702686
45	4.75	3.1458949515492485
45	5.0	3.1884371044742386
45	5.25	3.2279365025552944
45	5.5	3.2647308740740444
45	5.75	3.299107742396346
45	6.0	3.331313582785978
45	6.25	3.361561037347165
45	6.5	3.3900346511384294
45	6.75	3.4168954711709936
45	7.0	3.442284762935911
45	7.25	3.466327036090162
45	7.5	3.4891325248877187
45	7.75	3.5107992349608916
60	1e-05	8.760176239455084e-05
60	0.25	0.3932364591071812
60	0.5	0.7686041141252689
60	0.75	1.095733729599797
60	1.0	1.3575593662891805
60	1.25	1.557688993822884
60	1.5	1.7106683893572083
60	1.75	1.8305937194766415
60	2.0	1.9274906765188842
60	2.25	2.007917815209727
60	2.5	2.0761610972590017
60	2.75	2.1350940910872294
60	3.0	2.186708490631261
60	3.25	2.23243302086557
60	3.5	2.273325502542946
60	3.75	2.3101903244802773
60	4.0	2.3436524989998326
60	4.25	2.374206317092525
60	4.5	2.4022486564549173
60	4.75	2.428102517843347
60	5.0	2.4520340263501126
60	5.25	2.4742649148524016
60	5.5	2.494981818242001
60	5.75	2.5143432814329993
60	6.0	2.532485107604438
60	6.25	2.5495244888354796
60	6.5	2.5655632353479025
60	6.75	2.580690331222497
60	7.0	2.5949839813938134
60	7.25	2.6085132695128976
60	7.5	2.6213395139644082
60	7.75	2.6335173863444887
