VARIABLES= "Y","Cl"
0.1571 0.4107
0.4710 0.4323
0.7845 0.4496
1.0972 0.4632
1.4088 0.4741
1.7191 0.4830
2.0276 0.4904
2.3342 0.4967
2.6384 0.5021
2.9400 0.5067
3.2388 0.5108
3.5343 0.5144
3.8264 0.5176
4.1146 0.5205
4.3988 0.5231
4.6787 0.5254
4.9540 0.5275
5.2243 0.5295
5.4896 0.5312
5.7493 0.5328
6.0035 0.5342
6.2517 0.5355
6.4937 0.5367
6.7293 0.5377
6.9583 0.5387
7.1804 0.5394
7.3954 0.5401
7.6031 0.5406
7.8033 0.5409
7.9959 0.5410
8.1805 0.5409
8.3570 0.5406
8.5253 0.5399
8.6852 0.5388
8.8366 0.5372
8.9792 0.5348
9.1129 0.5315
9.2377 0.5269
9.3533 0.5205
9.4597 0.5115
9.5568 0.4990
9.6444 0.4817
9.7225 0.4580
9.7910 0.4265
9.8499 0.3864
9.8990 0.3378
9.9384 0.2815
9.9679 0.2193
9.9877 0.1533
9.9975 0.0892
