VARIABLES= "Y","Cl"
0.1000 0.3110
0.3000 0.3245
0.5000 0.3379
0.7000 0.3504
0.9000 0.3621
1.1000 0.3731
1.3000 0.3836
1.5000 0.3936
1.7000 0.4032
1.9000 0.4126
2.1000 0.4217
2.3000 0.4307
2.5000 0.4395
2.7000 0.4481
2.9000 0.4567
3.1000 0.4651
3.3000 0.4735
3.5000 0.4819
3.7000 0.4901
3.9000 0.4984
4.1000 0.5066
4.3000 0.5147
4.5000 0.5228
4.7000 0.5309
4.9000 0.5390
5.1000 0.5471
5.3000 0.5551
5.5000 0.5631
5.7000 0.5711
5.9000 0.5791
6.1000 0.5871
6.3000 0.5950
6.5000 0.6029
6.7000 0.6107
6.9000 0.6185
7.1000 0.6263
7.3000 0.6339
7.5000 0.6415
7.7000 0.6489
7.9000 0.6561
8.1000 0.6631
8.3000 0.6697
8.5000 0.6758
8.7000 0.6809
8.9000 0.6847
9.1000 0.6860
9.3000 0.6824
9.5000 0.6681
9.7000 0.6263
9.9000 0.5008
