VARIABLES= "Y","Cl"
0.0364 0.1541
0.1092 0.1557
0.1820 0.1573
0.2548 0.1588
0.3276 0.1603
0.4004 0.1616
0.4732 0.1630
0.5460 0.1642
0.6188 0.1655
0.6916 0.1666
0.7644 0.1678
0.8372 0.1688
0.9100 0.1699
0.9828 0.1709
1.0556 0.1718
1.1284 0.1727
1.2012 0.1735
1.2740 0.1743
1.3468 0.1750
1.4196 0.1757
1.4924 0.1763
1.5652 0.1769
1.6380 0.1774
1.7108 0.1778
1.7836 0.1781
1.8564 0.1784
1.9292 0.1785
2.0020 0.1786
2.0748 0.1785
2.1476 0.1784
2.2204 0.1781
2.2932 0.1776
2.3660 0.1770
2.4388 0.1762
2.5116 0.1752
2.5844 0.1739
2.6572 0.1724
2.7300 0.1705
2.8028 0.1683
2.8756 0.1656
2.9484 0.1624
3.0212 0.1586
3.0940 0.1540
3.1668 0.1484
3.2396 0.1417
3.3124 0.1333
3.3852 0.1228
3.4580 0.1093
3.5308 0.0909
3.6036 0.0631
